Position,PHI_50,PHI_100,PHI_150,PHI_200,PHI_250,PHI_300,PHI_350,PHI_400,PHI_450
810,0.119,0.28,0.137,0.0912,0.108,0.109,0.113,0.157,0.178
820,0.131,0.232,0.101,0.0697,0.0901,0.09,0.0875,0.117,0.127
830,0.299,0.322,0.119,0.0876,0.106,0.0969,0.0915,0.112,0.12
840,0.224,0.193,0.0577,0.055,0.0709,0.0558,0.0545,0.0612,0.0642
850,0.189,0.105,0.0271,0.0291,0.0428,0.0297,0.0285,0.0346,0.0333
860,0.0421,0.0157,0.00418,0.00674,0.0126,0.00918,0.00773,0.00813,0.00816
870,0.0114,0.00441,0.00184,0.00338,0.00648,0.00446,0.00354,0.0034,0.00322
880,0.00124,0.000454,0.000396,0.000934,0.00187,0.0014,0.000993,0.00106,0.000827
890,0.00111,0.000803,0.000869,0.00129,0.00221,0.00155,0.00102,0.00101,0.000782
900,0.0525,0.0268,0.0203,0.0143,0.0113,0.00666,0.00446,0.00362,0.00251
910,0.0885,0.0898,0.0795,0.0445,0.0276,0.0131,0.00848,0.00655,0.00464
920,0.0809,0.127,0.118,0.052,0.0272,0.0127,0.00816,0.00574,0.00412
930,0.592,0.627,0.495,0.223,0.117,0.0583,0.0381,0.0247,0.0187
940,0.47,0.605,0.471,0.175,0.083,0.0341,0.0203,0.0134,0.0104
950,0.688,0.834,0.695,0.329,0.15,0.0681,0.0387,0.0275,0.0216
960,0.827,0.908,0.764,0.407,0.187,0.0813,0.0421,0.0311,0.0252
970,0.574,0.829,0.586,0.243,0.0937,0.0343,0.0156,0.0125,0.0106
980,0.508,0.801,0.41,0.148,0.0464,0.0157,0.00662,0.00595,0.00545
990,0.734,0.893,0.493,0.217,0.0697,0.0228,0.00893,0.00882,0.00806
1000,0.587,0.811,0.258,0.0919,0.0218,0.00633,0.00227,0.0025,0.0026
1010,0.561,0.744,0.169,0.0538,0.012,0.00283,0.00104,0.00138,0.00152
1020,0.501,0.524,0.0845,0.022,0.00452,0.000918,0.000347,0.000496,0.000649
1030,0.158,0.0677,0.00519,0.000917,0.000193,3.66e-05,1.85e-05,4.02e-05,7.79e-05
1040,0.234,0.0599,0.00538,0.0012,0.000274,4.44e-05,2.47e-05,5.86e-05,0.000157
1050,0.0404,0.00331,0.000224,5.99e-05,1.51e-05,2.64e-06,2.15e-06,5.91e-06,2.11e-05
1060,0.00803,0.000867,3.96e-05,1.54e-05,3.11e-06,9.2e-07,9.64e-07,3.39e-06,1.42e-05
1070,0.000479,0.000134,3.11e-06,1.7e-06,3.87e-07,1.79e-07,2.67e-07,1.24e-06,5.25e-06
1080,0.000257,0.000131,6.35e-06,3.25e-06,8.41e-07,5.2e-07,8.18e-07,3.53e-06,1.27e-05
1090,8.67e-05,5.38e-05,8.5e-07,9.02e-07,2.4e-07,2.08e-07,3.83e-07,1.98e-06,8.9e-06
1100,0.000202,0.000412,7.77e-06,4.51e-06,1.45e-06,1.05e-06,1.53e-06,7.93e-06,2.74e-05
1110,0.00547,0.0116,0.00052,0.000127,5.88e-05,2.74e-05,3.6e-05,0.000138,0.000365
1120,0.113,0.16,0.0183,0.00295,0.00126,0.000475,0.000582,0.00164,0.00341
1130,0.359,0.388,0.0782,0.0132,0.00525,0.00217,0.00251,0.00584,0.0107
1140,0.388,0.313,0.0592,0.0093,0.00451,0.00222,0.00283,0.00672,0.0125
1150,0.243,0.157,0.0247,0.00327,0.0019,0.00114,0.00166,0.00433,0.00841
1160,0.109,0.0678,0.0094,0.00121,0.000728,0.000588,0.00101,0.00279,0.00529
1170,0.0588,0.04,0.00596,0.000973,0.000717,0.00065,0.00113,0.00325,0.00642
1180,0.0218,0.0287,0.00461,0.00104,0.000851,0.000874,0.00152,0.00478,0.00778
1190,0.0292,0.0703,0.0191,0.00677,0.00492,0.00512,0.00829,0.0193,0.0271
1200,0.00929,0.0382,0.0122,0.00707,0.00531,0.0065,0.0121,0.0252,0.0272
1210,0.0159,0.0352,0.0167,0.0122,0.00787,0.0102,0.0183,0.0324,0.0356
1220,0.624,0.541,0.408,0.229,0.172,0.167,0.213,0.255,0.278
1230,0.653,0.466,0.36,0.234,0.186,0.175,0.222,0.261,0.276
1240,0.645,0.42,0.377,0.269,0.201,0.204,0.241,0.266,0.276
1250,0.58,0.323,0.315,0.25,0.204,0.205,0.233,0.257,0.268
1260,0.465,0.243,0.231,0.21,0.201,0.185,0.206,0.233,0.248
1270,0.438,0.327,0.209,0.201,0.179,0.173,0.203,0.236,0.256
1280,0.361,0.291,0.209,0.198,0.175,0.174,0.191,0.226,0.252
1290,0.708,0.68,0.51,0.47,0.418,0.379,0.381,0.411,0.444
1300,0.764,0.642,0.415,0.369,0.336,0.301,0.311,0.344,0.381
1310,0.919,0.778,0.535,0.475,0.417,0.377,0.362,0.397,0.438
1320,0.853,0.665,0.443,0.344,0.29,0.266,0.242,0.283,0.327
1330,0.89,0.699,0.472,0.331,0.266,0.254,0.226,0.262,0.305
1340,0.811,0.623,0.361,0.224,0.163,0.155,0.138,0.168,0.203
1350,0.702,0.609,0.311,0.163,0.105,0.099,0.0915,0.122,0.146
1360,0.91,0.816,0.489,0.258,0.145,0.128,0.126,0.156,0.167
1370,0.937,0.869,0.556,0.301,0.168,0.142,0.137,0.167,0.175
1380,0.816,0.695,0.355,0.16,0.0754,0.0685,0.0751,0.0927,0.0965
1390,0.961,0.888,0.607,0.289,0.136,0.114,0.126,0.143,0.143
1400,0.971,0.915,0.651,0.322,0.152,0.121,0.131,0.148,0.146
1410,0.982,0.955,0.766,0.43,0.207,0.166,0.168,0.181,0.17
1420,0.983,0.966,0.79,0.482,0.236,0.179,0.177,0.195,0.178
1430,0.988,0.975,0.842,0.559,0.295,0.22,0.205,0.227,0.201
1440,0.988,0.978,0.847,0.594,0.315,0.234,0.212,0.225,0.195
1450,0.989,0.985,0.87,0.639,0.365,0.266,0.234,0.254,0.215
1460,0.979,0.98,0.847,0.65,0.369,0.251,0.214,0.228,0.202
1470,0.985,0.984,0.874,0.708,0.431,0.297,0.238,0.253,0.232
1480,0.979,0.982,0.9,0.729,0.47,0.322,0.249,0.265,0.243
1490,0.963,0.973,0.892,0.724,0.486,0.324,0.242,0.249,0.232
1500,0.881,0.915,0.81,0.622,0.413,0.276,0.198,0.193,0.183
1510,0.906,0.921,0.861,0.699,0.506,0.348,0.235,0.219,0.213
1520,0.92,0.921,0.875,0.742,0.567,0.398,0.268,0.248,0.243
1530,0.957,0.938,0.9,0.808,0.669,0.503,0.354,0.319,0.316
1540,0.941,0.917,0.879,0.802,0.661,0.519,0.36,0.319,0.316
1550,0.953,0.919,0.91,0.856,0.724,0.605,0.438,0.387,0.385
1560,0.957,0.936,0.924,0.896,0.785,0.693,0.522,0.474,0.465
1570,0.906,0.934,0.928,0.907,0.82,0.754,0.572,0.529,0.53
1580,0.819,0.911,0.9,0.88,0.796,0.722,0.526,0.486,0.483
1590,0.708,0.898,0.872,0.857,0.782,0.718,0.527,0.477,0.481
1600,0.344,0.714,0.699,0.714,0.651,0.597,0.436,0.388,0.377
1610,0.395,0.779,0.731,0.736,0.668,0.633,0.481,0.423,0.412
1620,0.439,0.821,0.755,0.755,0.694,0.665,0.529,0.479,0.442
1630,0.524,0.848,0.791,0.778,0.725,0.703,0.589,0.528,0.489
1640,0.621,0.873,0.799,0.783,0.735,0.738,0.648,0.597,0.539
1650,0.569,0.868,0.777,0.765,0.717,0.747,0.669,0.619,0.569
1660,0.625,0.879,0.775,0.75,0.728,0.774,0.7,0.662,0.605
1670,0.647,0.889,0.795,0.755,0.744,0.8,0.738,0.708,0.653
1680,0.646,0.893,0.793,0.75,0.739,0.807,0.754,0.73,0.682
1690,0.391,0.718,0.586,0.571,0.589,0.704,0.669,0.659,0.611
1700,0.413,0.747,0.575,0.588,0.603,0.722,0.701,0.691,0.657
1710,0.101,0.398,0.28,0.333,0.366,0.519,0.519,0.521,0.508
1720,0.154,0.402,0.288,0.352,0.374,0.537,0.541,0.551,0.546
1730,0.0926,0.276,0.182,0.233,0.268,0.429,0.435,0.45,0.473
1740,0.134,0.298,0.194,0.235,0.272,0.431,0.444,0.466,0.502
1750,0.343,0.543,0.341,0.374,0.404,0.565,0.575,0.61,0.649
1760,0.218,0.382,0.234,0.274,0.314,0.456,0.476,0.524,0.589
1770,0.342,0.474,0.294,0.316,0.368,0.486,0.499,0.556,0.636
1780,0.363,0.531,0.286,0.305,0.376,0.48,0.499,0.567,0.658
1790,0.416,0.57,0.332,0.351,0.428,0.507,0.525,0.6,0.684
1800,0.787,0.791,0.571,0.57,0.623,0.693,0.699,0.755,0.827
1810,0.8,0.859,0.655,0.649,0.671,0.735,0.735,0.799,0.866
1820,0.746,0.867,0.702,0.683,0.692,0.755,0.752,0.825,0.883
1830,0.66,0.866,0.747,0.711,0.712,0.769,0.769,0.835,0.896
1840,0.628,0.886,0.823,0.765,0.758,0.804,0.812,0.854,0.913
1850,0.628,0.887,0.863,0.798,0.792,0.828,0.84,0.876,0.925
1860,0.805,0.978,0.969,0.939,0.919,0.937,0.947,0.957,0.975
1870,0.805,0.979,0.977,0.953,0.929,0.949,0.959,0.964,0.976
1880,0.477,0.888,0.922,0.886,0.848,0.899,0.914,0.927,0.944
1890,0.599,0.919,0.938,0.905,0.872,0.923,0.927,0.936,0.947
1900,0.794,0.957,0.96,0.941,0.916,0.952,0.953,0.956,0.96
1910,0.894,0.977,0.971,0.959,0.944,0.968,0.968,0.966,0.965
1920,0.94,0.988,0.972,0.965,0.958,0.976,0.975,0.968,0.965
1930,0.941,0.987,0.968,0.964,0.961,0.977,0.975,0.966,0.963
1940,0.952,0.99,0.97,0.967,0.968,0.981,0.978,0.969,0.963
1950,0.958,0.991,0.971,0.972,0.974,0.985,0.98,0.97,0.964
1960,0.961,0.989,0.966,0.969,0.976,0.987,0.979,0.97,0.959
1970,0.972,0.984,0.96,0.968,0.978,0.99,0.978,0.967,0.953
1980,0.967,0.982,0.958,0.968,0.978,0.99,0.977,0.965,0.95
1990,0.934,0.97,0.943,0.962,0.972,0.988,0.975,0.959,0.937
2000,0.898,0.96,0.936,0.959,0.972,0.988,0.974,0.951,0.929
2010,0.834,0.936,0.915,0.948,0.964,0.984,0.967,0.94,0.911
2020,0.758,0.913,0.903,0.939,0.958,0.979,0.961,0.927,0.898
2030,0.892,0.984,0.979,0.98,0.984,0.99,0.981,0.957,0.936
2040,0.853,0.976,0.976,0.976,0.978,0.985,0.974,0.944,0.921
2050,0.97,0.997,0.997,0.995,0.994,0.995,0.991,0.975,0.963
2060,0.955,0.994,0.995,0.994,0.991,0.992,0.986,0.966,0.952
2070,0.95,0.993,0.994,0.992,0.985,0.986,0.977,0.957,0.938
2080,0.944,0.992,0.992,0.99,0.981,0.98,0.97,0.951,0.927
2090,0.95,0.995,0.991,0.988,0.974,0.97,0.959,0.942,0.917
2100,0.946,0.994,0.989,0.984,0.961,0.955,0.942,0.927,0.898
2110,0.948,0.992,0.981,0.971,0.939,0.926,0.912,0.905,0.87
2120,0.937,0.989,0.976,0.956,0.914,0.893,0.879,0.877,0.847
2130,0.932,0.988,0.967,0.941,0.884,0.859,0.851,0.845,0.827
2140,0.908,0.979,0.944,0.903,0.826,0.802,0.801,0.79,0.791
2150,0.893,0.971,0.92,0.856,0.783,0.753,0.76,0.747,0.761
2160,0.856,0.953,0.872,0.781,0.696,0.675,0.696,0.68,0.712
2170,0.828,0.942,0.826,0.71,0.62,0.616,0.639,0.636,0.676
2180,0.777,0.905,0.75,0.604,0.511,0.536,0.561,0.568,0.62
2190,0.717,0.807,0.651,0.464,0.385,0.43,0.471,0.477,0.546
2200,0.663,0.747,0.575,0.392,0.329,0.384,0.425,0.441,0.507
2210,0.474,0.544,0.368,0.219,0.198,0.282,0.327,0.344,0.427
2220,0.816,0.681,0.485,0.296,0.269,0.373,0.422,0.444,0.522
2230,0.668,0.545,0.342,0.195,0.194,0.291,0.356,0.374,0.462
2240,0.469,0.333,0.194,0.107,0.117,0.194,0.263,0.278,0.365
2250,0.256,0.151,0.0861,0.0488,0.066,0.121,0.186,0.205,0.276
2260,0.0352,0.0398,0.0246,0.0165,0.029,0.0613,0.106,0.13,0.182
2270,0.228,0.21,0.12,0.0792,0.122,0.214,0.284,0.322,0.392
2280,0.162,0.116,0.0705,0.0549,0.0883,0.167,0.237,0.281,0.331
2290,0.0413,0.0368,0.0272,0.0284,0.0478,0.112,0.17,0.218,0.245
2300,0.019,0.00564,0.00902,0.0165,0.0347,0.0811,0.127,0.184,0.189
2310,0.0101,0.0025,0.00553,0.0101,0.0234,0.0569,0.0955,0.137,0.143
2320,0.0243,0.00819,0.019,0.0282,0.057,0.11,0.166,0.202,0.201
2330,0.0171,0.00453,0.0149,0.0202,0.0432,0.0846,0.137,0.153,0.159
2340,0.0661,0.0297,0.0671,0.0627,0.104,0.17,0.239,0.252,0.254
2350,0.168,0.11,0.168,0.143,0.211,0.306,0.381,0.392,0.383
2360,0.0993,0.109,0.133,0.122,0.165,0.255,0.319,0.311,0.319
2370,0.0648,0.104,0.116,0.109,0.147,0.232,0.28,0.272,0.28
2380,0.353,0.453,0.405,0.338,0.364,0.442,0.497,0.464,0.483
2390,0.438,0.437,0.408,0.284,0.317,0.382,0.402,0.365,0.403
2400,0.404,0.416,0.373,0.254,0.289,0.345,0.362,0.328,0.366
2410,0.399,0.401,0.362,0.208,0.261,0.285,0.284,0.259,0.295
2420,0.419,0.409,0.379,0.205,0.26,0.26,0.25,0.231,0.269
2430,0.361,0.295,0.28,0.159,0.207,0.193,0.177,0.167,0.205
2440,0.254,0.172,0.196,0.104,0.153,0.136,0.125,0.121,0.152
2450,0.143,0.124,0.151,0.0894,0.125,0.101,0.0929,0.094,0.12
2460,0.144,0.125,0.144,0.0876,0.115,0.091,0.0837,0.0828,0.109
2470,0.077,0.0792,0.102,0.0637,0.0744,0.0602,0.0564,0.0572,0.0782
2480,0.0491,0.0517,0.084,0.051,0.0588,0.042,0.0416,0.045,0.0588
2490,0.0212,0.0231,0.0504,0.0318,0.0346,0.0241,0.0242,0.0267,0.0346
2500,0.172,0.148,0.223,0.144,0.112,0.0685,0.0629,0.064,0.0775
2510,0.233,0.108,0.183,0.121,0.0669,0.0402,0.0416,0.0408,0.0503
2520,0.174,0.073,0.142,0.093,0.0457,0.0277,0.0305,0.0307,0.0355
2530,0.0782,0.03,0.0685,0.0389,0.0168,0.00929,0.0115,0.0111,0.0144
2540,0.0532,0.0273,0.0601,0.0308,0.0122,0.00665,0.00864,0.00796,0.0111
2550,0.0308,0.0287,0.0634,0.0268,0.0121,0.00656,0.00858,0.00769,0.0103
2560,0.0176,0.0189,0.0326,0.0136,0.00664,0.00357,0.00546,0.00449,0.0065
2570,0.0122,0.0156,0.0252,0.0106,0.00562,0.0031,0.00474,0.00416,0.00579
2580,0.00958,0.0193,0.0279,0.0106,0.00607,0.00377,0.00521,0.00438,0.00668
2590,0.00402,0.0112,0.0118,0.00468,0.00316,0.00215,0.00283,0.00268,0.00412
2600,0.0631,0.15,0.0953,0.03,0.0199,0.0124,0.0126,0.0113,0.0164
2610,0.0399,0.0826,0.0397,0.0109,0.00935,0.00609,0.006,0.00558,0.00859
2620,0.0496,0.0629,0.021,0.00605,0.00603,0.00474,0.00447,0.00434,0.00697
2630,0.0417,0.0354,0.0112,0.0035,0.00387,0.0035,0.0033,0.00331,0.00549
2640,0.0422,0.0147,0.00321,0.00146,0.00179,0.00189,0.00188,0.00209,0.00338
2650,0.0394,0.00597,0.00154,0.000879,0.00139,0.00121,0.00154,0.00172,0.00267
2660,0.0283,0.00275,0.000741,0.000548,0.000989,0.000948,0.00111,0.00142,0.00233
2670,0.0151,0.000524,0.000166,0.0002,0.000454,0.000452,0.000685,0.000847,0.00144
2680,0.00149,2.38e-05,2.71e-05,6.05e-05,0.000169,0.00019,0.000346,0.000444,0.000857
2690,0.00148,1.81e-05,7.04e-05,0.000222,0.000382,0.000452,0.000899,0.00105,0.00175
2700,6.54e-05,6.19e-07,7.98e-06,3.96e-05,8.49e-05,0.000121,0.000363,0.00045,0.000778
2710,0.00196,4.57e-05,0.000161,0.000889,0.00109,0.0016,0.00315,0.00348,0.00469
2720,2.26e-08,1.07e-10,5.54e-09,4.34e-07,2.63e-06,8.86e-06,5.5e-05,0.00011,0.000174
2730,8.8e-05,2.49e-07,1.41e-06,3.25e-05,9.75e-05,0.000194,0.000769,0.00108,0.00146
2740,0.000535,8.1e-07,2.45e-06,3.86e-05,0.000117,0.000217,0.000854,0.00132,0.00176
2750,0.000635,1.01e-06,2.88e-06,3.56e-05,0.000132,0.000282,0.000961,0.00158,0.00202
2760,0.148,0.00132,0.000774,0.00154,0.00404,0.00576,0.0108,0.015,0.0154
2770,0.296,0.00304,0.00189,0.00174,0.00447,0.00688,0.0128,0.0182,0.0191
2780,0.683,0.0101,0.00347,0.00261,0.00494,0.00883,0.0151,0.0244,0.0252
2790,0.878,0.0565,0.00797,0.00536,0.0106,0.0167,0.0249,0.0356,0.0442
2800,0.926,0.131,0.0171,0.0124,0.023,0.0327,0.0462,0.0634,0.0775
2810,0.911,0.22,0.024,0.016,0.0279,0.04,0.0518,0.0737,0.0929
2820,0.891,0.315,0.0348,0.0205,0.0324,0.044,0.0551,0.0764,0.104
2830,0.925,0.337,0.0506,0.0293,0.0402,0.0609,0.0767,0.0984,0.125
2840,0.899,0.379,0.0646,0.0427,0.0442,0.0696,0.0881,0.108,0.145
2850,0.854,0.284,0.0589,0.0408,0.0425,0.0611,0.0822,0.105,0.139
2860,0.781,0.262,0.0751,0.0546,0.0555,0.0776,0.0946,0.125,0.159
2870,0.683,0.259,0.117,0.0922,0.0855,0.113,0.13,0.153,0.195
2880,0.965,0.853,0.697,0.538,0.432,0.47,0.451,0.491,0.532
2890,0.969,0.879,0.817,0.609,0.497,0.52,0.491,0.526,0.588
2900,0.979,0.907,0.906,0.728,0.6,0.622,0.573,0.612,0.66
2910,0.968,0.873,0.912,0.791,0.643,0.655,0.591,0.632,0.673
2920,0.964,0.866,0.91,0.825,0.666,0.677,0.605,0.642,0.686
2930,0.966,0.869,0.913,0.883,0.737,0.736,0.657,0.69,0.709
2940,0.969,0.864,0.885,0.906,0.77,0.762,0.68,0.701,0.711
2950,0.968,0.859,0.881,0.922,0.796,0.778,0.7,0.71,0.704
2960,0.97,0.872,0.884,0.941,0.828,0.812,0.731,0.745,0.709
2970,0.964,0.854,0.869,0.942,0.849,0.824,0.741,0.746,0.692
2980,0.964,0.854,0.877,0.947,0.869,0.846,0.76,0.761,0.71
2990,0.962,0.865,0.874,0.946,0.881,0.859,0.779,0.762,0.712
3000,0.971,0.876,0.886,0.95,0.91,0.89,0.821,0.789,0.734
3010,0.966,0.87,0.875,0.94,0.924,0.901,0.842,0.787,0.732
3020,0.969,0.856,0.867,0.937,0.94,0.912,0.865,0.796,0.739
3030,0.966,0.849,0.853,0.931,0.942,0.916,0.866,0.79,0.738
3040,0.968,0.854,0.858,0.933,0.959,0.938,0.88,0.808,0.758
3050,0.961,0.834,0.841,0.924,0.957,0.948,0.879,0.796,0.754
3060,0.95,0.859,0.793,0.918,0.956,0.948,0.886,0.8,0.749
3070,0.95,0.831,0.761,0.897,0.947,0.955,0.894,0.815,0.769
3080,0.953,0.84,0.771,0.902,0.95,0.96,0.904,0.828,0.784
3090,0.956,0.846,0.779,0.902,0.95,0.958,0.913,0.839,0.795
3100,0.949,0.803,0.76,0.887,0.94,0.946,0.913,0.838,0.79
3110,0.952,0.813,0.77,0.893,0.928,0.938,0.925,0.856,0.811
3120,0.954,0.817,0.776,0.892,0.917,0.928,0.93,0.858,0.813
3130,0.961,0.826,0.775,0.884,0.907,0.913,0.938,0.859,0.815
3140,0.962,0.827,0.776,0.884,0.895,0.903,0.945,0.872,0.826
3150,0.961,0.833,0.792,0.88,0.876,0.893,0.937,0.887,0.847
3160,0.969,0.859,0.788,0.867,0.865,0.888,0.933,0.899,0.862
3170,0.976,0.879,0.831,0.862,0.865,0.888,0.932,0.914,0.876
3180,0.975,0.876,0.809,0.833,0.838,0.87,0.918,0.913,0.879
3190,0.977,0.863,0.809,0.814,0.83,0.858,0.916,0.908,0.874
3200,0.975,0.851,0.745,0.781,0.82,0.845,0.906,0.888,0.871
3210,0.981,0.836,0.707,0.753,0.798,0.824,0.882,0.864,0.873
3220,0.978,0.808,0.604,0.691,0.722,0.789,0.855,0.842,0.882
3230,0.961,0.752,0.51,0.589,0.671,0.722,0.806,0.812,0.87
3240,0.964,0.664,0.449,0.55,0.646,0.705,0.791,0.804,0.876
3250,0.934,0.564,0.392,0.497,0.623,0.654,0.776,0.788,0.859
3260,0.981,0.489,0.365,0.498,0.61,0.671,0.762,0.78,0.861
3270,0.961,0.433,0.336,0.496,0.591,0.643,0.759,0.774,0.843
3280,0.865,0.216,0.264,0.425,0.519,0.578,0.727,0.766,0.811
3290,0.591,0.101,0.167,0.327,0.434,0.495,0.643,0.725,0.764
3300,0.933,0.724,0.761,0.867,0.882,0.938,0.967,0.986,0.986
3310,0.907,0.719,0.765,0.869,0.883,0.933,0.965,0.985,0.987
3320,0.947,0.76,0.783,0.867,0.884,0.937,0.969,0.986,0.987
3330,0.945,0.752,0.761,0.853,0.874,0.931,0.966,0.984,0.979
3340,0.959,0.747,0.749,0.846,0.868,0.933,0.966,0.984,0.97
3350,0.952,0.717,0.704,0.796,0.829,0.91,0.953,0.976,0.956
3360,0.954,0.724,0.71,0.797,0.832,0.908,0.957,0.974,0.945
3370,0.957,0.735,0.72,0.809,0.84,0.913,0.957,0.967,0.935
3380,0.955,0.729,0.715,0.801,0.836,0.91,0.959,0.963,0.928
3390,0.942,0.71,0.688,0.79,0.827,0.911,0.954,0.952,0.91
3400,0.211,0.0642,0.096,0.173,0.262,0.418,0.555,0.552,0.469
3410,0.426,0.111,0.121,0.199,0.285,0.434,0.557,0.503,0.424
3420,0.486,0.127,0.133,0.211,0.298,0.447,0.541,0.489,0.411
3430,0.612,0.177,0.167,0.242,0.327,0.476,0.52,0.473,0.402
3440,0.675,0.238,0.182,0.265,0.338,0.465,0.461,0.433,0.371
3450,0.818,0.319,0.227,0.296,0.376,0.5,0.46,0.431,0.365
3460,0.84,0.349,0.239,0.303,0.379,0.508,0.447,0.417,0.352
3470,0.846,0.492,0.328,0.385,0.439,0.518,0.429,0.397,0.33
3480,0.867,0.521,0.365,0.427,0.458,0.474,0.394,0.371,0.312
3490,0.798,0.575,0.41,0.462,0.456,0.434,0.357,0.34,0.29
3500,0.768,0.659,0.482,0.529,0.483,0.391,0.314,0.307,0.265
3510,0.759,0.671,0.564,0.572,0.463,0.355,0.289,0.287,0.25
3520,0.749,0.68,0.629,0.616,0.413,0.32,0.264,0.26,0.226
3530,0.687,0.662,0.718,0.609,0.358,0.271,0.225,0.227,0.192
3540,0.67,0.646,0.733,0.612,0.324,0.234,0.203,0.202,0.171
3550,0.644,0.623,0.763,0.555,0.287,0.206,0.176,0.184,0.148
3560,0.652,0.63,0.733,0.545,0.277,0.201,0.176,0.178,0.15
3570,0.626,0.607,0.715,0.518,0.262,0.187,0.16,0.162,0.136
3580,0.651,0.585,0.713,0.554,0.248,0.181,0.157,0.157,0.128
3590,0.623,0.533,0.678,0.512,0.245,0.167,0.148,0.145,0.118
3600,0.62,0.53,0.588,0.445,0.225,0.154,0.137,0.136,0.11
3610,0.598,0.484,0.477,0.365,0.207,0.141,0.126,0.125,0.101
3620,0.59,0.501,0.38,0.301,0.198,0.136,0.122,0.121,0.0977
3630,0.528,0.468,0.263,0.21,0.164,0.118,0.103,0.105,0.087
3640,0.553,0.369,0.177,0.167,0.133,0.112,0.0976,0.0973,0.0843
3650,0.544,0.343,0.162,0.156,0.127,0.114,0.0966,0.0982,0.0853
3660,0.449,0.261,0.12,0.124,0.102,0.105,0.0907,0.0901,0.0775
3670,0.429,0.175,0.1,0.102,0.0894,0.0962,0.0856,0.0848,0.0694
3680,0.421,0.0634,0.0577,0.0708,0.0763,0.0992,0.0904,0.0888,0.0754
3690,0.0289,0.0131,0.0286,0.0472,0.0614,0.1,0.105,0.103,0.0912
3700,4.04e-05,0.000572,0.00749,0.018,0.0344,0.0671,0.0837,0.0902,0.0834
3710,1.2e-05,0.000345,0.00655,0.0176,0.0322,0.0638,0.0829,0.0909,0.081
3720,0.638,0.566,0.76,0.697,0.707,0.736,0.753,0.692,0.642
3730,0.494,0.508,0.739,0.682,0.7,0.73,0.77,0.711,0.661
3740,0.419,0.475,0.724,0.687,0.704,0.734,0.772,0.734,0.68
3750,0.363,0.462,0.744,0.694,0.714,0.737,0.771,0.744,0.687
3760,0.475,0.565,0.829,0.798,0.809,0.826,0.851,0.849,0.801
3770,0.475,0.565,0.829,0.798,0.809,0.826,0.851,0.863,0.817
3780,0.475,0.565,0.829,0.798,0.809,0.825,0.851,0.878,0.832
3790,0.475,0.565,0.829,0.798,0.809,0.825,0.851,0.886,0.855
3800,0.475,0.565,0.828,0.798,0.808,0.825,0.85,0.887,0.877
3810,0.475,0.565,0.828,0.798,0.809,0.825,0.85,0.886,0.895
3820,0.474,0.563,0.83,0.798,0.8,0.825,0.845,0.886,0.904
3830,0.439,0.574,0.825,0.792,0.811,0.824,0.848,0.882,0.917
